	podcast1	podcast2	score
278	The Duncan Trussell Family Hour	The James Altucher Show	292843592
279	The Duncan Trussell Family Hour	Bulletproof Radio	19991324
280	The Duncan Trussell Family Hour	Revolution Health Radio	0
281	The Duncan Trussell Family Hour	UFC Unfiltered with Jim Norton and Matt Serra	540498785
282	The Duncan Trussell Family Hour	10% Happier with Dan Harris	137036428
283	The Duncan Trussell Family Hour	Oprah’s SuperSoul Conversations	62363471
284	Bertcast's podcast	The Fighter & The Kid	3848081408
285	Bertcast's podcast	Ari Shaffir's Skeptic Tank	19028692445
286	Bertcast's podcast	Under The Skin with Russell Brand	0
287	Bertcast's podcast	Pointless: with Kevin Pereira	475914535
288	Bertcast's podcast	ID10T with Chris Hardwick	2398997896
289	Bertcast's podcast	Waking Up with Sam Harris	0
290	Bertcast's podcast	Kill Tony	8139599828
291	Bertcast's podcast	The Rubin Report	212100560
292	Bertcast's podcast	Comedy Bang Bang	101993896
293	Bertcast's podcast	H3 Podcast	77991010
294	Bertcast's podcast	WTF with Marc Maron Podcast	417407262
295	Bertcast's podcast	The Church of What's Happening Now: With Joey Coco Diaz	16579087311
296	Bertcast's podcast	Your Mom's House with Christina P. and Tom Segura	4468353626
297	Bertcast's podcast	Harmontown	950386748
298	Bertcast's podcast	Freedomain Radio with Stefan Molyneux	652535566
299	Bertcast's podcast	Econtalk	0
300	Bertcast's podcast	Real Time with Bill Maher	107321087
301	Bertcast's podcast	You Made It Weird with Pete Holmes	5817617750
302	Bertcast's podcast	Anna Faris Is Unqualified	362315929
303	Bertcast's podcast	Armchair Expert with Dax Shepard	0
304	Bertcast's podcast	Fitzdog Radio	183673626
305	Bertcast's podcast	Tin Foil Hat With Sam Tripoli	1047812853
306	Bertcast's podcast	Alison Rosen Is Your New Best Friend	5282612161
307	Bertcast's podcast	Tangentially Speaking with Christopher Ryan	1788145637
308	Bertcast's podcast	How Did This Get Made?	124342361
309	Bertcast's podcast	The Todd Glass Show	4210100961
310	Bertcast's podcast	Dumb People Town	1328502457
311	Bertcast's podcast	Doug Loves Movies	1961947572
312	Bertcast's podcast	Getting Doug with High	6063897721
313	Bertcast's podcast	Who Charted?	262683289
314	Bertcast's podcast	The Indoor Kids with Kumail Nanjiani and Emily V. Gordon	681779658
315	Bertcast's podcast	Comedy Film Nerds	1044006357
316	Bertcast's podcast	The Champs with Neal Brennan + Moshe Kasher	287550179
317	Bertcast's podcast	Julian Loves Music	380497412
318	Bertcast's podcast	Canceled	6788197
319	Bertcast's podcast	Stand By Your Band	346628586
320	Bertcast's podcast	Truth & Iliza	999268542
321	Bertcast's podcast	Race Wars	3073040051
322	Bertcast's podcast	The Todd Barry Podcast	1219230840
323	Bertcast's podcast	My Dumb Friends	769009235
324	Bertcast's podcast	Pleasure Monkey Podcast	0
325	Bertcast's podcast	Louder With Crowder	703360574
326	Bertcast's podcast	Doughboys	0
327	Bertcast's podcast	The Bill Simmons Podcast	182172654
328	Bertcast's podcast	Legion of Skanks Podcast	986842168
329	Bertcast's podcast	Punch Drunk Sports	1160744491
330	Bertcast's podcast	Hannibal Buress: Handsome Rambler	419021483
331	Bertcast's podcast	Pirate Life Radio with Tait Fletcher	513628064
332	Bertcast's podcast	Hear Me This Book	1918877320
333	Bertcast's podcast	The Jim Rome Podcast	13343016
334	Bertcast's podcast	View from the Cheap Seats with the Sklar Brothers	941987622
335	Bertcast's podcast	All Things Comedy Live	1590570119
336	Bertcast's podcast	Dom Irrera Live from the Laugh Factory	1771878413
337	Bertcast's podcast	Aubrey Marcus Podcast	236801836
338	Bertcast's podcast	Happy Sad Confused	10131690
339	Bertcast's podcast	Off Camera with Sam Jones	85971224
340	Bertcast's podcast	Maltin on Movies	274235043
341	Bertcast's podcast	How I Built This with Guy Raz	0
342	Bertcast's podcast	Modern Love	4448780
343	Bertcast's podcast	The School of Greatness	81201060
344	Bertcast's podcast	The Ringer NBA Show	0
345	Bertcast's podcast	The Mike Lupica Show	0
346	Bertcast's podcast	Ask Me Another	0
347	Bertcast's podcast	Dear Sugars	0
348	Bertcast's podcast	The Bugle	58363608
349	Bertcast's podcast	The Daily Zeitgeist	70858762
350	Bertcast's podcast	SModcast	90481495
351	Bertcast's podcast	I AM RAPAPORT: STEREO PODCAST	376607444
352	Bertcast's podcast	Never Not Funny: The Jimmy Pardo Podcast	210651260
353	Bertcast's podcast	The CrabFeast with Ryan Sickler and Jay Larson	7685797188
354	Bertcast's podcast	improv4humans with Matt Besser	0
355	Bertcast's podcast	Gilbert Gottfried's Amazing Colossal Podcast	0
356	Bertcast's podcast	Jordan, Jesse GO!	1509797016
357	Bertcast's podcast	Bullseye with Jesse Thorn	198477920
358	Bertcast's podcast	Stop Podcasting Yourself	765611560
359	Bertcast's podcast	SPONTANEANATION with Paul F. Tompkins	0
360	Bertcast's podcast	The Pod F. Tompkast	503565318
361	Bertcast's podcast	The Dead Authors Podcast	147322701
362	Bertcast's podcast	The Bone Zone	3053646008
363	Bertcast's podcast	Economic Rockstar	0
364	Bertcast's podcast	Don't Ever Change with John Roy	1490327255
365	Bertcast's podcast	The K Ohle with Kurt Braunohler	582948408
366	Bertcast's podcast	Steve Agee: Uhhh	193262988
367	Bertcast's podcast	High and Mighty	48511535
368	Bertcast's podcast	Kumail Nanjiani's The X-Files Files	45894375
369	Bertcast's podcast	Getting Curious with Jonathan Van Ness	82038162
370	Bertcast's podcast	Hollywood Handbook	0
371	Bertcast's podcast	RuPaul: What's The Tee with Michelle Visage	19795208
372	Bertcast's podcast	Shane And Friends	105154072
373	Bertcast's podcast	Not Too Deep with Grace Helbig	280798709
374	Bertcast's podcast	Think Again – a Big Think Podcast	231165554
375	Bertcast's podcast	Rationally Speaking	0
376	Bertcast's podcast	Skepticality: The Official Podcast of Skeptic Magazine	21610854
377	Bertcast's podcast	Friendly Atheist Podcast	47922558
378	Bertcast's podcast	Snoop Dogg's GGN Podcast	72863079
379	Bertcast's podcast	Katie Couric	0
380	Bertcast's podcast	Entrepreneurial Thought Leaders	0
381	Bertcast's podcast	The Ezra Klein Show	29869710
382	Bertcast's podcast	The Talk Show With John Gruber	0
383	Bertcast's podcast	Here We Are	0
384	Bertcast's podcast	Double Date Podcast	287534457
385	Bertcast's podcast	It's All Happening	263715311
386	Bertcast's podcast	The Astral Hustle with Cory Allen	107346168
387	Bertcast's podcast	Mindrolling with Raghu Markus	526322436
388	Bertcast's podcast	Chris Grosso The Indie Spiritualist	0
389	Bertcast's podcast	London Real	212871628
390	Bertcast's podcast	Onnit Podcast	84783100
391	Bertcast's podcast	Brody Stevens Festival Of Sports	372189210
392	Bertcast's podcast	The Steven Brody Stevens Festival Of Friendship	1280396697
393	Bertcast's podcast	Wait Wait... Don't Tell Me!	0
394	Bertcast's podcast	Superego	62522567
395	Bertcast's podcast	Savage Lovecast	0
396	Bertcast's podcast	Tom Rhodes Radio Smart Camp	2144330496
397	Bertcast's podcast	The Full Charge Power Hour featuring Matt Fulchiron	1687875340
398	Bertcast's podcast	The 31 with Brandt Tobler	1980950851
399	Bertcast's podcast	Good Times: With Steve Simeone	2323637605
400	Bertcast's podcast	Twisting The Wind with Johnny Pemberton	325441341
401	Bertcast's podcast	LIVE TO TAPE with Johnny Pemberton	798385938
402	Bertcast's podcast	Mohr Stories with Jay Mohr	19217328
403	Bertcast's podcast	The Pony Hour	333018762
404	Bertcast's podcast	Jocko Podcast	0
405	Bertcast's podcast	The Tim Ferriss Show	119041261
406	Bertcast's podcast	StarTalk Radio	0
407	Bertcast's podcast	The Doug Stanhope Podcast	12769845774
408	Bertcast's podcast	Bitch Sesh: A Real Housewives Breakdown	0
409	Bertcast's podcast	Put Your Hands Together with Cam and Rhea	4843056864
410	Bertcast's podcast	Watch What Happens Live with Andy Cohen	0
411	Bertcast's podcast	Rap Radar Podcast	0
412	Bertcast's podcast	The Vlad Couch	0
413	Bertcast's podcast	Allegedly with Theo Von & Matthew Cole Weiss	431474955
