	name	hosts	imgurl	categories	description	percent_unique	num_guests	num_unique	avg_day_diff	active	premier	avg_ep_lengths	cat_bias	hub_leader_score	bt_diff_leader_score	close_rank	bt_rank	degree_rank
21	You Made It Weird with Pete Holmes	['Pete Holmes']	http://static.libsyn.com/p/assets/c/9/6/4/c96469ee482d87aa/YMIW_logo.jpg	['Comedy', 'Society & Culture', 'Health', 'Self-Help']	Everybody has secret weirdness, Pete Holmes gets comedians to share theirs.	15.1	352	53	6.1	True	2011-10-25 22:22:00	02:01:57	13.5	0	0	3	4	3
22	Anna Faris Is Unqualified	['Anna Faris']	http://static.libsyn.com/p/assets/c/1/6/e/c16e77f29f309dce/Podcast_Cover_Artwork.jpg	['Comedy', 'Society & Culture', 'Personal Journals', 'TV & Film']	I am a solid 3.4 student with a major in English from the University of Washington. I've also been asked what my SAT score was and it was 1060. It only took five years of dorm/rave life for me to accrue the life knowledge I have received. I’m a Sagittarius, which means I’m super creative and stubborn; but there are walls I need to break down because I always want to leap over the boundaries that make me climb ladders and roofs. I’m agreeable and delightful. I also have incredible leadership skills and following abilities. And, I have 20/20 vision so I’m an eagle eye. I could not love all of you more and please e-mail me at www.unqualified.com with your pressing relationship questions.	26.4	125	33	5.9	True	2015-11-24 07:30:00	01:09:34	6.8	0	0	27	42	27
23	Armchair Expert with Dax Shepard	['Dax Shepard']	https://media.simplecast.com/podcast/image/4123/1517966385-artwork.jpg	['Comedy', 'TV & Film', 'Music']	Hi, I’m Dax Shepard, and I love talking to people. I am endlessly fascinated by the messiness of being human, and I find people who are vulnerable and honest about their struggles and shortcomings to be incredibly sexy. I invite you to join me as I explore other people’s stories. We will celebrate, above all, the challenges and setbacks that ultimately lead to growth and betterment. What qualifies me for such an endeavor? More than a decade of sobriety, a degree in Anthropology and four years of improv training. I will attempt to discover human “truths” without any laboratory work, clinical trials or data collection. I will be, in the great tradition of 16th-century scientists, an Armchair Expert.	42.9	21	9	5.9	True	2018-02-14 01:00:00	01:55:53	16.8	0	0	128	135	127
24	Fitzdog Radio	['Greg Fitzsimmons']	http://static.libsyn.com/p/assets/c/a/2/0/ca20a50bab0ab60a/FitzDog-Podcast-Art300.jpg	['Comedy']	Fitzdog Radio! A place where Greg can continue his Sirius / XM Show on Howard 101, and give you more interview time with the guest, and more funny.	15.4	39	6	61.4	True	2011-09-14 06:59:57	01:06:07	8.0	0	0	28	44	28
25	Tin Foil Hat With Sam Tripoli	['Sam Tripoli']	http://i1.sndcdn.com/avatars-000318107190-ct1zbx-original.jpg	['Comedy']	Welcome to Tin Foil Hat (My Conspiracy Theory Podcast)feed!  Please order my new album The Diabolical on iTunes at https://itun.es/us/u6ZLhb!	49.3	136	67	12.2	True	2013-07-01 10:48:10	01:05:43	14.8	0	0	49	50	46
26	Alison Rosen Is Your New Best Friend	['Alison Rosen']	http://static.libsyn.com/p/assets/9/6/e/0/96e0d3a1dc828eca/Alison_Cover_Art_V04_-01bf_violet_sm.jpg	['Comedy']	"A twice weekly podcast hosted by veteran interviewer and everyone's new best friend Alison Rosen featuring surprisingly honest conversations that are equal parts silly, serious, revelatory and sometimes involving a sombrero. Plus an eternal quest to find out if that thing you think or do is normal in a segment called ""Just Me or Everyone?"" "	28.6	262	75	6.0	True	2012-02-13 08:10:10	01:27:37	8.5	0	0	4	12	4
27	Tangentially Speaking with Christopher Ryan	['Christopher Ryan']	http://static.libsyn.com/p/assets/b/0/8/e/b08ee47c18c371a7/drchrisryanpodcast1389127900.jpg	['Arts', 'Society & Culture']	Tangentially Speaking is dedicated to the idea that good conversation is spontaneous, organic, revelatory, and free to go down unexpected paths with unexpected people. Come hang with comics, porn stars, bank robbers, drug smugglers, scientists, authors, and world travelers.	69.7	264	184	6.6	True	2012-09-30 00:33:23	01:46:30	14.7	0	0	25	13	26
28	How Did This Get Made?	['Paul Scheer', 'June Diane Raphael', 'Jason Mantzoukas']	https://dfkfj8j276wwv.cloudfront.net/images/1c/74/3b/e9/1c743be9-1820-49ad-b13c-f8554a37698f/ec7e4935400484879bef5009764cce98bf015f3f314369b3962409886a36b6065cc46d7d434c07c1966864e267505f8911d8f00331ace1b9368bc9f770578554.jpeg	['Comedy']	Have you ever seen a movie so bad that it's amazing? Paul Scheer, June Diane Raphael and Jason Mantzoukas want to hear about it! We'll watch it with our funniest friends, and report back to you with the results.	9.9	81	8	28.8	True	2011-01-26 00:32:55	01:25:12	9.2	0	0	22	29	23
29	The Todd Glass Show	['Todd Glass']	http://static.libsyn.com/p/assets/5/6/1/0/5610162170129e01/toddlogo.jpg	['Comedy']	Todd Glass has his very own show! He brings on his funny friends and they talk about whatever they want. And, of course, there are bits!	24.8	109	27	6.8	True	2011-08-12 03:20:00	02:11:34	298.1	0	0	19	35	19
30	Dumb People Town	['Jason Sklar', 'Randy Sklar', 'Daniel Van Kirk']	https://dfkfj8j276wwv.cloudfront.net/images/d1/f0/9e/47/d1f09e47-98ee-4a81-a842-0a5b02e09873/c09de8c8847d3461cd5665c0556ae2c5e076db7996f9e17c492391b905c6569e0a870b2763313797cd6a7690d6a57e78275313185242280ba0dd0fe36950fac9.jpeg	['Comedy', 'Society & Culture', 'News & Politics']	It’s as much an exploration as it is a celebration of dumb people doing dumb things (often in Florida). With Daniel Van Kirk, Randy Sklar, and Jason Sklar.	4.3	93	4	2.8	True	2017-01-17 08:00:00	01:03:23	48.9	0	0	12	24	12
